pdf	pdf.name	REF	Pages	Abstract
100	Cremer2007.pdf	"Cremer, S.; Armitage, S.A.O.; Schmid-Hempel, P. 2007. Social Immunity. Current Biology 17:693-702"	10	"Social insect colonies have evolved collective immune defences against parasites. These 'social immune systems' result from the cooperation of the individual group members to combat the increased risk of disease transmission that arises from sociality and group living. In this review we illustrate the pathways that parasites can take to infect a social insect colony and use these pathways as a framework to predict colony defence mechanisms and present the existing evidence. We find that the collective defences can be both prophylactic and activated on demand and consist of behavioural, physiological and organisational adaptations of the colony that prevent parasite entrance, establishment and spread. We discuss the regulation of collective immunity, which requires complex integration of information about both the parasites and the internal status of the insect colony. Our review concludes with an examination of the evolution of social immunity, which is based on the consequences of selection at both the individual and the colony level. "
101	Crouse1987.pdf	"Crouse, D.T; Crowder, L.B; Caswell, H. 1987. A Stage-Based Population Model for Loggerhead Sea Turtles and Implications for Conservation. Ecology 68:1412"	1	"Management of many species is currently based on an inadequate understanding of their population dynamics. Lack of age—specific demographic information, particularly for long—lived iteroparous species, has impeded development of useful models. We use Lefkovitch stage class matrix model, based on preliminary life table developed by Frazer (1983), to point to interim management measures and to identify those data most critical to refining our knowledge about the population dynamics of threatened loggerhead sea turtles (Caretta caretta). Population projections are used to examine the sensitivity of Frazer's life table to variations in parameter estimates as well as the likely response of the population to various management alternatives. Current management practices appear to be focused on the least responsive life stage, eggs on nesting—beaches. Alternative protection efforts for juvenile loggerheads,such as using turtle excluder devices (TEDs), may be far more effective."
102	Currie2004.pdf	"Currie, D. et al. 2004. Predictions and tests of climate-based hypotheses of broad-scale variation in taxonomic richness. Ecology Letters 7:1121-1134"	1	"Broad-scale variation in taxonomic richness is strongly correlated with climate. Many mechanisms have been hypothesized to explain these patterns; however, testable predictions that would distinguish among them have rarely been derived. Here, we examine several prominent hypotheses for climate-richness relationships, deriving and testing predictions based on their hypothesized mechanisms. The ?energy-richness hypothesis? (also called the more individuals hypothesis ) postulates that more productive areas have more individuals and therefore more species. More productive areas do often have more species, but extant data are not consistent with the expected causal relationship from energy to numbers of individuals to numbers of species. We reject the energy-richness hypothesis in its standard form and consider some proposed modifications. The physiological tolerance hypothesis postulates that richness varies according to the tolerances of individual species for different sets of climatic conditions. This hypothesis predicts that more combinations of physiological parameters can survive under warm and wet than cold or dry conditions. Data are qualitatively consistent with this prediction, but are inconsistent with the prediction that species should fill climatically suitable areas. Finally, the speciation rate hypothesis postulates that speciation rates should vary with climate, due either to faster evolutionary rates or stronger biotic interactions increasing the opportunity for evolutionary diversification in some regions. The biotic interactions mechanism also has the potential to amplify shallower, underlying gradients in richness. Tests of speciation rate hypotheses are few (to date), and their results are mixed."
103	Damuth1981.pdf	"Damuth, J. 1981. Population density and Body Size in Mammals. Nature 290:699-700"	2	No Abstract
104	Darwin1858.pdf	"Darwin, C.R.; Wallace, A.R. 1858. On the tendency of species to form varieties; and on the perpetuation of varieties and species by natural means of selection. Journal of the proceedings of the Linnean Society of London Zoology 3:45-62"	18	No Abstract
105	Dayton1971.pdf	"Dayton, P.K. 1971. Competition, Disturbance, and Community Organization : The Provision and Subsequent Utilization of Space in a Rocky Intertidal Community. Ecological Monographs 41:351-389"	39	"An understanding of community structure should be based on evidence that the growth and regulation of the component populations in the community are affected in a predictable manner by natural physical disturbances and by interactions with other species in the com- munity. This study presents an experimental evaluation of the effects of such disturbances and competitive interactions on populations of sessile organisms in the rocky intertidal com- munity, for which space can be demonstrated to be the most important limiting resource. This research was carried out at eight stations on the Washington coastline which have been ranked according to an exposure/desiccation gradient and subjected to comparable manipulation and observation. Physical variables such as wave exposure, battering by drift logs, and desiccation have im- portant effects on the distribution and abundance of many of the sessile species in the com- munity. In particular, wave exposure and desiccation have a major influence on the distribu- tion patterns of all the algae and of the anemone Anthopleura elegantissima. The probability of damage from drift logs is very high in areas where logs have accumulated along the inter- tidal. Log damage and wave exposure have complementary effects in the provision of free space in a mussel bed, as wave shock enlarges a patch created by log damage by wrenching the mussels from the substratum at the periphery of the bare patch. Competition for primary space results in clear dominance hierarchies, in which barnacles are dominant over algae. Among the barnacles, Balanus cariosus is dominant over both B. glandula and Chthamalus dalli; B. glandula is dominant over C. dalli. The mussel Mytilus californianus requires secondary space (certain algae, barnacles, or byssal threads) for larval settlement, but is capable of growing over all other sessile species and potentially is the com- petitive dominant of space in thie community"
106	Dayton1973.pdf	"Dayton, P.K. 1973. Two cases of resource partitioning in an intertidal community: Making the right prediction for the wrong reason. The American Naturalist 107:662"	1	No Abstract
107	Dayton1992.pdf	"Dayton, P.K. et al. 1992. Temporal and Spatial Patterns of Disturbance and Recovery in a Kelp Forest Community. Ecological Monographs 62:421-445"	25	No Abstract
108	Dayton1974.pdf	"Dayton, P.K. et al. 1974. Biological Accommodation in the Benthic Community at McMurdo Sound, Antarctica. Ecological Monographs 44:105-128"	24	"Studies of the benthos between 30 and 60 m at Cape Armitage, McMurdo Sound, Antarctica, reveal an epifaunal community in which sponges and their asteroid and nudibranch predators predominate. Field experiments demonstrated that, with the exception of Mycale acerata, the growth rates of the sponges are too slow to measure in 1 yr. Mycale, however, was observed to increase its mass as much as 67 per cent. Because of its more rapid growth rate. Mycale appears to be the potential dominant in competition for substratum space, the resource potentially limiting to the sessile spp. This conclusion is supported by observations of Mycale growing over and, in some cases, apparently having smothered many other sessile spp representing at least 3 phyla. The densities and size frequency distributions of all the predators were measured; numerous feeding observations allowed an accurate appraisal of dietary compositions. Because of the predators' very slow consumption rates, however, direct measures of ingestion and its impact on prey populations were not possible. Estimates of the ingestion rates were derived from measurements of predator respiration rates, growth rates, and gonad growth. Data from the field surveys and the energetics studies suggest that Mycale is prevented from dominating the space resource by the predation of 2 asteroids, Perknaster fuscus antarcticus and Acodontaster conspicuus. Adult Perknaster specialize on Mycale, and the sponge provides a small proportion of the diet of A. conspicuus. Acodontaster conspicuus and the dorid nudibranch Austrodoris mcmurdensis are the most important predators on three species of rossellid sponges (Rossella racovitzae, R. nuda, and Scolymastra joubini). Despite this relatively heavy consumption and despite the fact that none of these sponges has a refuge in growth from potential mortality from A. conspicuus, very large standing crops of the rossellid sponges have accumulated. This accumulation appears to result from predation on larval and young A. conspicuus and Austrodoris by Odontaster validus, which is primarily a detrital feeder and apparently acts as a filter against the settlement and survival of the A. conspicuus and Austrodoris larvae. In addition, predation upon adult A. conspicuus by O. validus and the actinian Urticinopsis antacticus annually kills approx 3.5 per cent of the A. conspicuus population. This mortality exceeds the apparent rate at which A. conspicuus escape the larval filter."
109	Dempster1955.pdf	"Dempster, E.R. 1955. Maintenance of genetic heterogeneity. Cold Spring Harbor Symposia on Quantitative Biology 20:25-32"	8	"If much of the recent work in quantitative genetics points to any common conclusion, it is that there is a remarkable genetic diversity within natural and domestic populations, perhaps much greater than was commonly supposed ten or twenty years ago. There are numerous ways imaginable in which diversity could be maintained, although many of these possible mechanisms in combination appear inadequate to explain the observations. Studies, both experimental and analytical, directed toward this problem of maintenance may lead to a better understanding of the nature of the diversity that exists. The present paper is a brief survey of some of the principal mechanisms that can operate in large populations to maintain genetic variance, with particular reference to variance of fitness, followed by a more detailed consideration of the possibility that alternating selective forces may share this function. The forces that maintain heterozygosity can be divided into two major categories, those.."
110	Dennis1995.PDF	"Dennis, B. et al. 1995. Nonlinear demographic dynamics: mathematical models, statistical methods, and biological experiments. Ecological Monographs 65:261-282"	22	"Our approach to testing nonlinear population theory is to connect rigorously mathematical models with data by means of statistical methods for nonlinear time series. We begin by deriving a biologically based demographic model. The mathematical analysis identifies boundaries in parameter space where stable equilibria bifurcate to periodic 2-cy- cles and aperiodic motion on invariant loops. The statistical analysis, based on a stochastic version of the demographic model, provides procedures for parameter estimation, hypothesis testing, and model evaluation. Experiments using the flour beetle Tribolium yield the time series data. A three-dimensional map of larval, pupal, and adult numbers forecasts four possible population behaviors: extinction, equilibria, periodicities, and aperiodic motion including chaos. This study documents the nonlinear prediction of periodic 2-cycles in laboratory cultures of Tribolium and represents a new interdisciplinary approach to un- derstanding nonlinear ecological dynamics."
111	Dennis1996.pdf	"Dennis, B. 1996. Discussion: Should Ecologists Become Bayesians ? Ecological Applications 6:1095-1103"	9	"Bayesian statistics involve substantial changes in the methods and philosophy of science. Before adopting Bayesian approaches, ecologists should consider carefully whether or not scientific understanding will be enhanced. Frequentist statistical methods, while imperfect, have made an unquestioned contribution to scientific progress and are a workhorse of day-to-day research. Bayesian statistics, by contrast, have a largely untested track record. The papers in this special section on Bayesian statistics exemplify the difficulties inherent in making convincing scientific arguments with Bayesian reasoning."
112	Deutsch2008.pdf	"Deutsch, C.A et al. 2008. Impacts of climate warming on terrestrial ectotherms across latitude. Proceedings of the National Academy of Sciences of the United States of America 105:6668-6672"	5	"The impact of anthropogenic climate change on terrestrial organisms is often predicted to increase with latitude, in parallel with the rate of warming. Yet the biological impact of rising temperatures also depends on the physiological sensitivity of organisms to temperature change. We integrate empirical fitness curves describing the thermal tolerance of terrestrial insects from around the world with the projected geographic distribution of climate change for the next century to estimate the direct impact of warming on insect fitness across latitude. The results show that warming in the tropics, although relatively small in magnitude, is likely to have the most deleterious consequences because tropical insects are relatively sensitive to temperature change and are currently living very close to their optimal temperature. In contrast, species at higher latitudes have broader thermal tolerance and are living in climates that are currently cooler than their physiological optima, so that warming may even enhance their fitness. Available thermal tolerance data for several vertebrate taxa exhibit similar patterns, suggesting that these results are general for terrestrial ectotherms. Our analyses imply that, in the absence of ameliorating factors such as migration and adaptation, the greatest extinction risks from global warming may be in the tropics, where biological diversity is also greatest."
113	Diamond1975.pdf	"Diamond, J.M. 1975. The island dilemma: Lessons of modern biogeographic studies for the design of natural reserves. Biological Conservation 7:129-146"	18	"A system of natural reserves, each surrounded by altered habitat, resembles a system of islands from the point of view of species restricted to natural habitats. Recent advances in island biogeography may provide a detailed basis for understanding what to expect of such a system of reserves. The main conclusions are as follows: The number of species that a reserve can hold at equilibrium is a function of its area and its isolation. Larger reserves, and reserves located close to other reserves, can hold more species. If most of the area of a habitat is destroyed, and a fraction of the area is saved as a reserve, the reserve will initially contain more species than it can hold at equilibrium. The excess will gradually go extinct. The smaller the reserve, the higher will be the extinction rates. Estimates of these extinction rates for bird and mammal species have recently become available in a few cases. Different species require different minimum areas to have a reasonable chance of survival. Some geometric design principles are suggested in order to optimise the function of reserves in saving species."
114	Diaz2004.pdf	Diaz S. et al. 2004. The plant traits that drive ecosystems: Evidence from three continents. Journal of Vegetation Science 15:295-304	10	"Question: A set of easily-measured ('soft') plant traits has been identified as potentially useful predictors of ecosystem functioning in previous studies. Here we aimed to discover whether the screening techniques remain operational in widely contrasted circumstances, to test for the existence of axes of variation in the particular sets of traits, and to test for their links with 'harder' traits of proven importance to ecosystem functioning. Location: central-western Argentina, central England, northern upland Iran, and north-eastern Spain. Recurrent patterns of ecological specialization: Through ordination of a matrix of 640 vascular plant taxa by 12 standardized traits, we detected similar patterns of specialization in the four floras. The first PCA axis was identified as an axis of resource capture, usage and release. PCA axis 2 appeared to be a size-related axis. Individual PCA for each country showed that the same traits remained valuable as predictors of resource capture and utilization in all of them, despite their major differences in climate, biogeography and land-use. The results were not significantly driven by particular taxa: the main traits determining PCA axis 1 were very similar in eudicotyledons and monocotyledons and Asteraceae, Fabaceae and Poaceae. Links between recurrent suites of 'soft' traits and 'hard' traits: The validity of PCA axis 1 as a key predictor of resource capture and utilization was tested by comparisons between this axis and values of more rigorously established predictors ('hard' traits) for the floras of Argentina and England. PCA axis 1 was correlated with variation in relative growth rate, leaf nitrogen content, and litter decomposition rate. It also coincided with palatability to model generalist herbivores. Therefore, location on PCA axis 1 can be linked to major ecosystem processes in those habitats where the plants are dominant. Conclusion: We confirm the existence at the global scale of a major axis of evolutionary specialization, previously recognised in several local floras. This axis reflects a fundamental trade-off between rapid acquisition of resources and conservation of resources within well-protected tissues. These major trends of specialization were maintained across different environmental situations (including differences in the proximate causes of low productivity, i.e. drought or mineral nutrient deficiency). The trends were also consistent across floras and major phylogenetic groups, and were linked with traits directly relevant to ecosystem processes."
115	Dirzo2014.pdf	"Dirzo, R. et al. 2014. Defaunation in the Anthropocene. Science 345:401-406"	6	"We live amid a global wave of anthropogenically driven biodiversity loss: species and population extirpations and, critically, declines in local species abundance. Particularly, human impacts on animal biodiversity are an under-recognized form of global environmental change. Among terrestrial vertebrates, 322 species have become extinct since 1500, and populations of the remaining species show 25% average decline in abundance. Invertebrate patterns are equally dire: 67% of monitored populations show 45% mean abundance decline. Such animal declines will cascade onto ecosystem functioning and human well-being. Much remains unknown about this ""Anthropocene defaunation""; these knowledge gaps hinder our capacity to predict and limit defaunation impacts. Clearly, however, defaunation is both a pervasive component of the planet's sixth mass extinction and also a major driver of global ecological change."
116	Dray2008.pdf	"Dray, S.; Legendre, P. 2008. Testing the species traits environment relationships: The fourth-corner problem revisited. Ecology 89:3400-3412"	13	"Functional ecology aims at determining the relationships between species traits and environmental variables in order to better understand biological processes in ecosystems. From a methodological point of view, this biological objective calls for a method linking three data matrix tables: a table L with abundance or presence-absence values for species at a series of sites, a table R with variables describing the environmental conditions of the sites, and a table Q containing traits (e.g., morphological or behavioral attributes) of the species. Ten years ago, the fourth-corner method was proposed to measure and test the relationships between species traits and environmental variables using tables R, L, and Q simultaneously. In practice, this method is rarely used. The major reasons for this lack of interest are the restriction of the original method and program to presence-absence data in L and to the analysis of a single trait and a single environmental variable at a time. Moreover, ecologists often have problems in choosing a permutation model among the four originally proposed. In this paper, we revisit the fourth-corner method and propose improvements to the original approach. First, we present an extension to measure the link between species traits and environmental variables when the ecological community is described by abundance data. A new multivariate fourth-corner statistic is also proposed. Then, using numerical simulations, we discuss and evaluate the existing testing procedures. A new two-step testing procedure is presented. We hope that these elements will help ecologists use the best possible methodology to analyze this type of ecological problem."
117	Drent1980.pdf	"Drent, R.; Daan, S. 1980. The prudent parent: energetic adjustments in avian breeding. Ardea 68:225-252"	28	"1. Energetics of reproduction in birds is reviewed with the question in mind how the parent adjusts its effort in relation to prevailing environmental conditions in order to maximize the output of young in its lifetime. Emphasis is on proximate controls, rather than ultimate factors measurable in terms of adult survival and recruitment of young. 2. The decision to breed or not to breed is clearly related to body condition of the female, presumably because of the implications this has for survival. 3. Laying date and clutch size are likewise under the influence of female condition and can hence be modified by experiments involving supplementary feeding. Natural variation in these features may often be related to territory quality. 4. How the bird decides whether or not to commence a second brood is not clear, but in the Great Tit the habitat-related difference in incidence of second broods is functionally understandable when survival probabilities of birds at different times are considered. 5. A distinction is made between a ""capital"" and ""income"" model for translatting rates of change of female body condition into appropriate decisions on laying date and clutch size and experiments are suggested that discriminate between the two. 6. Lack's view that brood size is in an evolutionary sense adjusted in order to balance food requirement and foraging capacity of the parents is accepted, and growth rates in nidicolous birds are analysed to ascertain if a finer adjustment exists superimposed on the integer steps of brood adjustment. Critical for this analysis are groups of birds where broods of one are common, since only in these circumstances is growth adjustment the only strategy open to the parents. In common with other animals, growth rate is related to mature body size but within a category of adult weight clear examples can be found for retardation of growth rate in pelecaniform and charadriiform species with singleton broods. 7. Since daily energy requirement is related to nestling size and growth rate, retardation of growth is explicable as a strategy only in terms of reducing the daily commitment of the parents, not reducing the total cost of producing a nestling. 8. An additional economy in growth is to reduce the contribution of fat to the nestling body. 9. Implied in Lack's view of brood size is a limitation of parental foraging capacity, and the last section of the paper is devoted to exploration of the proximate factors delimiting what Royama terms the optimal working capacity of parents feeding young. Observations of parent starlings confronted with manipulated brood size suggest a limit on the time that can be devoted to energetically extravagant flight activity, rather than a shortage of absolute time. Beyond the limit to which stressed parents can be made to fly, body weight declines. 10. Preliminary data on energy metabolized daily by parents confronted with large broods conforms to the simplified view that parental effort on a sustained basis equates to energy mobilization equivalent to 4 B.M.R. units and it is suggested that this level of energy expenditure represents a proximal decision substrate for determining the optimal working capacity of the parent. 11. The paper ends with a plea for more research on the proximate controls of avian reproduction, and calls attention to the central importance of the protein bank to parental body condition."
118	Duffy2003.pdf	"Duffy E.J.; Richardson, P.J.; Canuel, E. A. 2003. Grazer diversity effects on ecosystem functioning in seagrass beds. Ecology letters 6:637-645"	9	No Abstract
119	Duffy2002.pdf	"Duffy, E.J. 2002. Biodiversity and ecosystem function: the consumer connection. Oikos 99:201-219"	19	"Proposed links between biodiversity and ecosystem processes have generated intense interest and controversy in recent years. With few exceptions, however, empirical studies have focused on grassland plants and laboratory aquatic microbial systems, whereas there has been little attention to how changing animal diversity may influence ecosystem processes. Meanwhile, a separate research tradition has demonstrated strong top-down forcing in many systems, but has considered the role of diversity in these processes only tangentially. Integration of these research directions is necessary for more complete understanding in both areas. Several considerations suggest that changing diversity in multi-level food webs can have important ecosystem effects that can be qualitatively different than those mediated by plants. First, extinctions tend to be biased by trophic level: higher-level consumers are less diverse, less abundant, and under stronger anthropogenic pressure on average than wild plants, and thus face greater risk of extinction. Second, unlike plants, consumers often have impacts on ecosystems disproportionate to their abundance. Thus, an early consequence of declining diversity will often be skewed trophic structure, potentially reducing top-down influence. Third, where predators remain abundant, declining diversity at lower trophic levels may change effectiveness of predation and penetrance of trophic cascades by reducing trait diversity and the potential for compensation among species within a level. The mostly indirect evidence available provides some support for this prediction. Yet effects of changing animal diversity on functional processes have rarely been tested experimentally. Evaluating impacts of biodiversity loss on ecosystem function requires expanding the scope of current experimental research to multi-level food webs. A central challenge to doing so, and to evaluating the importance of trophic cascades specifically, is understanding the distribution of interaction strengths within natural communities and how they change with community composition. Although topology of most real food webs is extremely complex, it is not at all clear how much of this complexity translates to strong dynamic linkages that influence aggregate biomass and community composition. Finally, there is a need for more detailed data on patterns of species loss from real ecosystems (community  disassembly  rules)."
120	Dushoff2004.pdf	"Dushoff, J. et al. 2004. Dynamical resonance can account for seasonality of influenza epidemics. Proceedings of the National Academy of Sciences of the United States of America 101:16915-16916"	2	"Influenza incidence exhibits strong seasonal fluctuations in temperate regions throughout the world, concentrating the mortality and morbidity burden of the disease into a few months each year. The cause of influenza's seasonality has remained elusive. Here we show that the large oscillations in incidence may be caused by undetectably small seasonal changes in the influenza transmission rate that are amplified by dynamical resonance."
121	Dynesius2000.pdf	"Dynesius, M.; Jansson, R. 2000. Evolutionary consequences of changes in species' geographical distributions driven by Milankovitch climate oscillations. Proceedings of the National Academy of Sciences of the United States of America 97:9115-9120"	6	"We suggest Milankovitch climate oscillations as a common cause for geographical patterns in species diversity, species' range sizes, polyploidy, and the degree of specialization and dispersability of organisms. Periodical changes in the orbit of the Earth cause climatic changes termed Milankovitch oscillations, leading to large changes in the size and location of species' geographical distributions. We name these recurrent changes ""orbitally forced species' range dynamics"" (ORD). The magnitude of ORD varies in space and time. ORD decreases gradual speciation (attained by gradual changes over many generations), increases range sizes and the proportions of species formed by polyploidy and other ""abrupt"" mechanisms, selects against specialization, and favor dispersability. Large ORD produces species prone neither to extinction nor gradual speciation. ORD increases with latitude. This produces latitudinal patterns, among them the gradient in species diversity and species' range sizes (Rapoport's rule). Differential ORD and its evolutionary consequences call for new conservation strategies on the regional to global scale."
122	Earn2000a.pdf	"Earn, D.J.; Levin, S.A. Rohani, P. 2000a. Coherence and conservation. Science 290:1360-1364"	5	"A principal aim of current conservation policy is to reduce the impact of habitat fragmentation. Conservation corridors may achieve this goal by facilitating movement among isolated patches, but there is a risk that increased connectivity could synchronize local population fluctuations (causing coherent oscillations) and thereby increase the danger of global extinction. We identify general conditions under which populations can or cannot undergo coherent oscillations, and we relate these conditions to local and global extinction probabilities. We suggest a simple method to explore the potential success of conservation corridors and, more generally, any manipulations of dispersal patterns that aim to protect threatened species or control pests."
123	Earn2002.pdf	"Earn, D.J.D.; Dushoff, J.; Levin, S.A. 2002. Ecology and evolution of the flu. Trends in Ecology & Evolution 17:334-340"	7	"Influenza (flu) is a common infectious disease, but it is unusual in that the primary timescales for disease dynamics (epidemics) and viral evolution (new variants) are roughly the same. Recently, extraordinarily reliable phylogenetic reconstructions of flu virus evolution have been made using samples from both extant and extinct strains. In addition, because of their public health importance, flu epidemics have been monitored throughout the period over which the phylogenetic trees extend. In parallel with this empirical work, theoretical ecologists have developed mathematical and computational models that elucidate many properties of multistrain systems. In the future, to unravel and interpret the complex interactions between ecological and evolutionary forces on flu dynamics, the documented evolution of the virus must be related to the observed population dynamics of the disease. New theoretical insights are also required to simplify model structures and facilitate predictions that can be tested with accessible data."
124	Earn2000.pdf	"Earn, D.J.D. 2000. A simple model for complex dynamical transitions in epidemics. Science 287:667-670"	4	"Dramatic changes in patterns of epidemics have been observed throughout this century. For childhood infectious diseases such as measles, the major transitions are between regular cycles and irregular, possibly chaotic epidemics, and from regionally synchronized oscillations to complex, spatially incoherent epidemics. A simple model can explain both kinds of transitions as the consequences of changes in birth and vaccination rates. Measles is a natural ecological system that exhibits different dynamical transitions at different times and places, yet all of these transitions can be predicted as bifurcations of a single nonlinear model."
125	Eberhardt1991.pdf	"Eberhardt, L .L .; Thomas, J .M . 2008. Designing Environmental Field Studies. Ecological Monographs 61:53-73"	21	"Field experiments in ecological and environmental research usually do not meet the criteria for modem experimental design. Subsampling is often mistakenly sub- stituted for true replication, and sample sizes are too small for adequate power in tests of significance. In many cases, field-study objectives may be better served by various kinds of sampling procedures, even though the resulting inferences will be weaker than those obtainable through controlled experimentation. The present paper provides a classification and description of methods for designing environmental studies, with emphasis on techniques as yet little used in ecology. Eight categories of techniques for field studies are defined in terms of the nature of control exerted by the observer, by the presence or absence of a perturbation, and by the domain of study. The first two categories include classical experimental approaches, replicated and unrepli- cated. Sampling for modelling provides efficient designs for estimating parameters in a specified model. Intervention analysis measures the effect of a known perturbation in a time series. Observational studies contrast selected groups from a population, while ana- lytical sampling provides comparisons over the entire population. Descriptive survey sam- pling estimates means or totals over an entire population, while sampling for pattern deals with spatial patterns over a selected region. We propose that the statistical concept of a ""superpopulation"" may be useful in ecology, and that it may be desirable to approach community and ecosystem studies in a sampling framework, with experimentation used for a fairly narrow range of subsidiary investigations. Much more attention to processes for drawing inferences about cause and effect is needed, in any case."
126	Ehlrich1967.pdf	"Ehrlich P.R; Birch L.C. 1967. The ""balance of nature"" and ""population control"". The American Naturalist 101:97-107"	11	"1. The notion that nature is in some sort of ""balance"" with respect to population size, or that populations in general show relatively little fluctuation in size, is demonstrably false. 2. The thesis of Hairston, Smith, and Slobodkin that ""populations of producers, carnivores, and decomposers are limited by their respective resources in the classical density-dependent fashion"" is based on a series of assumptions about these trophic levels which are, in all probability, false. Even if the assumptions are true, this conclusion does not follow from them. 3. A realistic basis for building models dealing with the changes of numbers in populations would include the following propositions: a. All populations are constantly changing in size. b. The environments of all organisms are constantly changing. c. Local populations must be recognized and investigated if changes in population size are to be understood. d. The influence on population size of various components of environment varies with population density, among species, among local populations, and through time."
127	Ehrlich1964.pdf	"Ehrlich, P.R.; Raven, P.H. 1964. Butterflies and plants: a study in coevolution. Evolution 18:586-608"	23	"The reciprocal evolutionary relationships of butterflies and their food plants have been examined on the basis of an extensive survey of patterns of plant utilization and information on factors affecting food plant choice. The evolution of secondary plant substances and the stepwise evolutionary responses to these by phytophagous organisms have clearly been the dominant factors in the evolution of butterflies and other phytophagous groups. Furthermore, these secondary plant substances have probably been critical in the evolution of angiosperm subgroups and perhaps of the angiosperms themselves. The examination of broad patterns of coevolution permits several levels of predictions and shows promise as a route to the understanding of community evolution. Little information useful for the reconstruction of phylogenies is supplied. It is apparent that reciprocal selective responses have been greatly underrated as a factor in the origination of organic diversity. The paramount importance of plant-herbivore interactions in generating terrestrial diversity is suggested. For instance, viewed in this framework the rich diversity of tropical communities may be traced in large part to the hospitality of warm climates toward poikilothermal phytophagous insects."
128	Ehrlich1971.pdf	"Ehrlich, P.R.; Holdren, J.P. 1971. Impact of Population Growth. Science 171:1212-1217"	6	No Abstract
129	Ellner2001.pdf	"Ellner, S.P. et al. 2001. Habitat structure and population persistence in an experimental community. Nature 412:538-543"	6	"Understanding spatial population dynamics is fundamental for many questions in ecology and conservation. Many theoretical mechanisms have been proposed whereby spatial structure can promote population persistence, in particular for exploiter-victim systems (host-parasite/pathogen, predator-prey) whose interactions are inherently oscillatory and therefore prone to extinction of local populations. Experiments have confirmed that spatial structure can extend persistence, but it has rarely been possible to identify the specific mechanisms involved. Here we use a model-based approach to identify the effects of spatial population processes in experimental systems of bean plants (Phaseolus lunatus), herbivorous mites (Tetranychus urticae) and predatory mites (Phytoseiulus persimilis). On isolated plants, and in a spatially undivided experimental system of 90 plants, prey and predator populations collapsed; however, introducing habitat structure allowed long-term persistence. Using mechanistic models, we determine that spatial population structure did not contribute to persistence, and spatially explicit models are not needed. Rather, habitat structure reduced the success of predators at locating prey outbreaks, allowing between-plant asynchrony of local population cycles due to random colonization events."
130	Elser2000.pdf	Elser J.J. et al. 2000. Biological stoichiometry from genes to ecosystems. Ecology letters 3:540-550	11	"Ecological stoichiometry is the study of the balance of multiple chemical elements in ecological interactions. This paper reviews recent findings in this area and seeks to broaden the stoichiometric concept for use in evolutionary studies, in integrating ecological dynamics with cellular and genetic mechanisms, and in developing a unified means for studying diverse organisms in diverse habitats. This broader approach would then beconsider  ¨biological stoichiometry . Evidence supporting a hypothesised connection between the C:N:P stoichiometry of an organism and its growth rate (th growth rate hypothesis  ) is reviewed . Various data indicate that rapidly growing organisms commonly have low biomass C : P and N : P ratios . Evidence is then discussed suggesting that low C : P and N : P ratios in rapidly growing organisms reflect increased allocation to P - rich ribosomal RNA (rRNA) , as rapid protein synthesis by ribosomes is required to support fast growth . Indeed , diverse organisms (bacteria , copepods , fishes , others) exhibit increased RNA levels when growing actively . This implies that evolutionary processes that generate , directly or indirectly , variation in a major life history trait (specific growth rate) have consequences for ecological dynamics due to their effects on organismal elemental composition . Genetic mechanisms by which organisms generate high RNA , high growth rate phenotypes are discussed next , focusing on the structure and organisation of the ribosomal RNA genes (th rDNA ' ') . In particular , published studies of a variety of taxa suggest an association between growth rate and variation in the length and content of the intergenic spacer (IGS) region of the rDNA tandem repeat unit . In particular , under conditions favouring increased growth or yield , the number of repeat units   ¨nhancers ' ') increases (and the IGS increases in length) , and transcription rates of rRNA increase . In addition , there is evidence in the literature that increased numbers of copies of rDNA genes are associated with increased growth and production . Thus , a combination of genetic mechanisms may be responsible for establishing the growth potential , and thus the RNA allocation and C : N : P composition , of an organism . Furthermore , various processes , during both sexual and asexual reproduction , can generate variation in the rDNA to provide the raw material for selection and to generate ecologically significant variation in C : N : P stoichiometry . This leads us to hypothesize that the continuous generation of such variation may also play a role in how species interactions develop in ecosystems under different conditions of energy input and nutrient supply . During this century , biology has become increasingly sophisticated and predictive . With increasing sophistica - tion has come increasing specialisation (Maienschein 1991) . Narrowing of research focus occurs not only at particular levels of organisation (e . g . ecosystem science , molecular genetics) but also within the confines of particular model organisms (e . g . Drosophila , Arabidopsis) or of particular habitats (e . g . lakes , temperate forests) . As a result , knowledge is increasingly fragmented and it has become more difficult to connect disparate areas of"
